,EALR_K,EALR_F,BRR_K,BRR_F,DTR_K,DTR_F,NNR_K,NNR_F,GBR_K,GBR_F,RF_K,RF_F,AdaBoostR2_LR_K,AdaBoostR2_LR_F,AdaBoostR2_DTR_K,AdaBoostR2_DTR_F,AdaBoostR2_BRR_K,AdaBoostR2_BRR_F
ant-1.7,0.7159763313609467,0.7189349112426036,0.7159763313609467,0.7100591715976331,0.5532544378698225,0.5532544378698225,0.6390532544378699,0.5887573964497042,0.6479289940828402,0.6597633136094675,0.6390532544378699,0.5887573964497042,0.6272189349112426,0.6124260355029586,0.621301775147929,0.6035502958579881,0.6627218934911243,0.6272189349112426
ant-1.6,0.6086956521739131,0.6086956521739131,0.6358695652173914,0.6304347826086957,0.44565217391304346,0.40217391304347827,0.4673913043478261,0.5054347826086957,0.6086956521739131,0.5706521739130435,0.5380434782608695,0.5869565217391305,0.5869565217391305,0.5271739130434783,0.44021739130434784,0.41304347826086957,0.5217391304347826,0.45652173913043476
ant-1.5,0.6857142857142857,0.6,0.6857142857142857,0.6857142857142857,0.2571428571428571,0.2857142857142857,0.34285714285714286,0.3142857142857143,0.34285714285714286,0.3142857142857143,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.6285714285714286,0.17142857142857143,0.2,0.6857142857142857,0.6285714285714286
camel-1.6,0.574,0.588,0.578,0.572,0.558,0.552,0.55,0.506,0.608,0.6,0.576,0.582,0.522,0.59,0.59,0.64,0.56,0.536
camel-1.4,0.4955223880597015,0.4955223880597015,0.5283582089552239,0.5373134328358209,0.5522388059701493,0.5671641791044776,0.48656716417910445,0.4388059701492537,0.6537313432835821,0.6149253731343284,0.6358208955223881,0.6208955223880597,0.4626865671641791,0.4298507462686567,0.6,0.5970149253731343,0.43283582089552236,0.5104477611940299
camel-1.2,0.36015325670498083,0.3448275862068966,0.3275862068965517,0.39272030651340994,0.2471264367816092,0.30268199233716475,0.2988505747126437,0.3314176245210728,0.38697318007662834,0.3793103448275862,0.46551724137931033,0.3563218390804598,0.27586206896551724,0.3103448275862069,0.2777777777777778,0.28160919540229884,0.29693486590038315,0.3505747126436782
ivy-2.0,0.625,0.6071428571428571,0.6607142857142857,0.6428571428571429,0.3392857142857143,0.44642857142857145,0.5,0.48214285714285715,0.5,0.6607142857142857,0.6071428571428571,0.6428571428571429,0.5535714285714286,0.5714285714285714,0.5,0.42857142857142855,0.6428571428571429,0.6964285714285714
jedit-4.2,0.7735849056603774,0.7735849056603774,0.7547169811320755,0.8207547169811321,0.6886792452830188,0.6792452830188679,0.7264150943396226,0.7169811320754716,0.8018867924528302,0.7452830188679245,0.7075471698113207,0.7169811320754716,0.7735849056603774,0.7641509433962265,0.7547169811320755,0.7641509433962265,0.7169811320754716,0.6792452830188679
jedit-4.1,0.7235023041474654,0.7188940092165899,0.7235023041474654,0.6866359447004609,0.5806451612903226,0.631336405529954,0.6589861751152074,0.7050691244239631,0.7050691244239631,0.6866359447004609,0.7235023041474654,0.7327188940092166,0.7327188940092166,0.6543778801843319,0.6405529953917051,0.6589861751152074,0.6820276497695853,0.6774193548387096
jedit-4.0,0.7345132743362832,0.7610619469026548,0.7168141592920354,0.7212389380530974,0.6902654867256637,0.6327433628318584,0.7566371681415929,0.7699115044247787,0.7787610619469026,0.7300884955752213,0.7610619469026548,0.7654867256637168,0.6858407079646017,0.6902654867256637,0.7654867256637168,0.7566371681415929,0.668141592920354,0.7035398230088495
synapse-1.1,0.5454545454545454,0.5151515151515151,0.5353535353535354,0.5454545454545454,0.31313131313131315,0.2727272727272727,0.41414141414141414,0.41414141414141414,0.3838383838383838,0.42424242424242425,0.4444444444444444,0.2828282828282828,0.5252525252525253,0.41414141414141414,0.41414141414141414,0.2727272727272727,0.5252525252525253,0.5252525252525253
synapse-1.2,0.4896551724137931,0.4689655172413793,0.496551724137931,0.4896551724137931,0.4068965517241379,0.4482758620689655,0.41379310344827586,0.4413793103448276,0.4896551724137931,0.4689655172413793,0.4689655172413793,0.4689655172413793,0.46206896551724136,0.503448275862069,0.45517241379310347,0.4482758620689655,0.47586206896551725,0.496551724137931
xalan-2.5,0.3954802259887006,0.3747645951035782,0.3954802259887006,0.3973634651600753,0.3389830508474576,0.3182674199623352,0.3578154425612053,0.3352165725047081,0.3709981167608286,0.3709981167608286,0.3615819209039548,0.3634651600753296,0.3634651600753296,0.3822975517890772,0.3427495291902072,0.3559322033898305,0.3747645951035782,0.3992467043314501
xalan-2.6,0.4048,0.4048,0.4368,0.4176,0.3952,0.4016,0.3808,0.3968,0.4656,0.464,0.4048,0.4112,0.3472,0.3776,0.3824,0.392,0.3856,0.368
xerces-1.3,0.48186528497409326,0.41968911917098445,0.40932642487046633,0.47150259067357514,0.46632124352331605,0.45595854922279794,0.45077720207253885,0.48704663212435234,0.41968911917098445,0.43523316062176165,0.47150259067357514,0.47668393782383417,0.45077720207253885,0.47150259067357514,0.40414507772020725,0.47150259067357514,0.39378238341968913,0.40414507772020725
