,k<>ant-1.7,m<>ant-1.7,r<>ant-1.7,k<>ant-1.6,m<>ant-1.6,r<>ant-1.6,k<>ant-1.5,m<>ant-1.5,r<>ant-1.5,k<>camel-1.6,m<>camel-1.6,r<>camel-1.6,k<>camel-1.4,m<>camel-1.4,r<>camel-1.4,k<>camel-1.2,m<>camel-1.2,r<>camel-1.2,k<>ivy-2.0,m<>ivy-2.0,r<>ivy-2.0,k<>jedit-4.2,m<>jedit-4.2,r<>jedit-4.2,k<>jedit-4.1,m<>jedit-4.1,r<>jedit-4.1,k<>jedit-4.0,m<>jedit-4.0,r<>jedit-4.0,k<>synapse-1.1,m<>synapse-1.1,r<>synapse-1.1,k<>synapse-1.2,m<>synapse-1.2,r<>synapse-1.2,k<>xalan-2.5,m<>xalan-2.5,r<>xalan-2.5,k<>xalan-2.6,m<>xalan-2.6,r<>xalan-2.6,k<>xerces-1.3,m<>xerces-1.3,r<>xerces-1.3
EALR,6,6,4.017244278,14,3,3.421143196,3,5,3.864312449,20,5,2.8648903,12,4,2.887559252,15,6,4.261251067,1,6,0.270018445,8,6,0.375814366,17,2,1.419080705,8,3,1.233024402,8,2,2.677497659,6,5,1.382279144,19,1,0.833263176,20,2,1.658999976,14,0,3.510090229
BRR,20,5,0.467768042,3,2,1.637276195,12,6,3.625137886,17,3,4.662430781,5,6,2.503598861,7,2,4.333511879,11,5,4.512933307,9,1,0.991458614,9,5,4.331084757,15,6,3.337179933,4,5,1.427942709,13,3,0.594954077,18,3,3.519938146,5,1,4.547257408,5,5,1.543940855
DTR,20,6,1.370115084,12,5,3.663519149,17,1,1.359932908,8,6,2.987617489,4,6,4.979232465,2,6,2.30527727,17,2,3.657012716,18,6,4.02113645,17,3,4.64314761,8,5,4.147988949,11,3,4.214489383,6,6,2.57456382,5,6,1.361507489,16,5,0.974582717,5,5,3.451233745
NNR,19,5,0.891384953,17,3,3.087825133,9,2,4.332014153,9,6,2.965502139,19,2,0.569802833,13,5,4.281496859,14,6,1.946873099,12,6,3.094400059,13,6,4.757239657,15,1,3.339063223,3,2,3.043359639,20,4,2.131537754,18,4,1.386714035,16,6,4.708446328,13,5,0.931642316
GBR,16,6,0.24668936,11,1,0.162227228,10,5,1.548666519,19,3,0.5310288,17,3,3.30687124,12,4,4.412978725,9,5,4.742371202,9,1,3.010879473,14,5,3.037786096,20,4,2.865535519,16,5,4.521115528,9,2,1.737764844,6,2,2.873836278,17,4,0.84859629,18,1,4.987256901
RF,15,0,1.139655519,15,3,0.932855916,5,6,3.760259636,6,3,3.163043098,13,3,2.804713838,6,1,1.114023697,18,6,2.068527782,9,4,4.289095184,3,3,3.409540144,13,5,2.122535737,8,0,2.073496639,9,3,1.241440505,13,6,1.778029028,5,2,4.48319765,13,2,4.20077046
AdaBoostR2_LR,19,5,1.04430804,16,3,1.583454046,5,5,4.914673971,2,6,4.761962373,12,0,1.398187538,12,6,2.614823344,11,4,0.668528975,12,4,3.368531792,10,6,3.026295171,8,6,1.61206714,3,4,3.508718746,1,3,1.67414437,16,3,0.17387536,6,5,3.118759832,10,3,4.075422305
AdaBoostR2_DTR,18,5,4.704189854,3,6,1.015320024,8,0,2.707796549,18,3,4.533586581,12,5,0.442332549,15,4,1.00666627,19,5,0.575212075,4,6,1.081207819,4,4,1.380241965,13,6,1.758075044,19,6,4.536644161,5,3,2.938671768,13,3,2.33375753,9,5,1.829714168,10,6,4.092266353
AdaBoostR2_BRR,13,4,0.838794828,9,2,3.877011316,11,5,3.914091371,6,2,4.374902396,18,0,0.895388354,14,2,4.118894399,15,5,0.998743647,16,5,3.403943272,12,0,3.023996969,16,4,1.532204939,12,4,1.709507198,13,4,4.452284437,7,3,3.44642508,7,2,1.399679751,19,6,2.407548094
CBS_D,20,6,2.116249654,1,6,2.555738857,13,5,1.360007412,10,6,4.143799478,10,6,3.34507795,15,6,2.208668639,5,5,3.326628636,20,5,3.15745133,6,6,1.4105879,16,5,2.418126223,14,6,4.223747334,19,6,1.9441441,10,6,4.212000817,3,6,4.882055731,11,3,0.933424641
CBS_A,16,3,2.371973758,1,3,0.641903347,20,2,4.150526147,1,6,1.976162285,7,5,2.267504508,13,3,1.907812131,12,4,4.718238005,17,3,0.782314183,15,2,1.094156686,11,1,3.334130791,4,6,0.257091861,5,1,3.547101581,11,4,3.090249106,18,1,1.686962691,1,4,4.865404607
